DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2015,580769.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2016,503556.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2017,568797.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2018,448013.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2019,400565.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2020,336713.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2021,411849.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Argentina,2022,603454.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2015,342083.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2016,355665.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2017,367294.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2018,383234.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2019,395706.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2020,380317.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2021,406232.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,2022,448007.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2015,1121955.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2016,1180981.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2017,1250369.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2018,1232714.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2019,1230158.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2020,1260391.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2021,1479667.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Australia,2022,1692828.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Aruba,2015,26.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Aruba,2016,27.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Aruba,2017,27.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Aruba,2018,27.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Aruba,2019,30.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2015,47336.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2016,34208.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2017,36221.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2018,39852.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2019,43003.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2020,37307.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2021,46332.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Azerbaijan,2022,74870.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2015,14791.1,b
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2016,15474.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2017,16260.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2018,17354.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2019,18296.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2020,17755.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2021,20014.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2022,23324.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2015,4268.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2016,4369.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2017,4371.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2018,4313.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2019,4753.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2020,4112.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2021,4144.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Barbados,2022,5388.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2015,176018.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2016,240030.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2017,253067.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2018,268556.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2019,312572.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2020,326524.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2021,351472.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bangladesh,2022,403845.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2015,415538.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2016,428467.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2017,443407.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2018,459491.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2019,479444.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2020,463750.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2021,506023.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2022,563543.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2015,45797.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2016,48752.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2017,52501.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2018,56131.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2019,61308.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2020,61912.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2021,71378.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bulgaria,2022,86082.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2015,28112.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2016,29145.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2017,31122.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2018,31973.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2019,34423.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2020,30088.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2021,33239.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahrain,2022,42205.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2015,11665.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2016,10306.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2017,10715.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2018,11490.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2019,12032.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2020,10484.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2021,11853.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brunei Darussalam,2022,15836.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2015,29754.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2016,30671.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2017,33177.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2018,34117.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2019,36539.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2020,32056.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2021,34172.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bolivia,2022,41789.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2015,1620307.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2016,1625820.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2017,1825960.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2018,1625656.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2019,1674249.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2020,1291009.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Brazil,2021,1413026.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2015,10582.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2016,10571.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2017,10791.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2018,10642.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2019,11583.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2020,8685.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2021,9576.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bahamas,2022,12428.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2015,1971.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2016,2131.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2017,2291.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2018,2190.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2019,2449.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2020,2151.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2021,2352.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bhutan,2022,2756.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2015,1998.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2016,2042.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2017,2006.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2018,1958.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2019,2146.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2020,1793.0,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2021,2059.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belize,2022,2703.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2015,1403102.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2016,1381768.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2017,1461487.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2018,1461798.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2019,1557430.5,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2020,1451324.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2021,1710385.8,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Canada,2022,2081737.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2015,625532.7,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2016,621765.1,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2017,615776.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2018,614304.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2019,644443.2,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2020,650742.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2021,689174.9,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Switzerland,2022,787386.5,p
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Chile,2015,218472.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Chile,2016,225262.3,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Chile,2017,244819.6,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Chile,2018,250662.4,
ESTAT:NAIDA_10_GDP(1.0),10/01/25 11:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Chile,2019,248657.4,
